Equipo,GolesF,GolesC,DG,Puntos,W,D,L,GolesMT_F,GolesMT_C,TirosF,TirosC,TirosPF,TirosPC,Fouls_Prov,Fouls_Rec,Corners_Fav,Corners_Con,TA_Prov,TA_Rec,TR_Prov,TR_Rec
Cardiff,32,74,-42,30,7,9,22,10,33,419,692,126,232,342,381,196,259,49,58,1,2
Juventus,80,23,57,102,33,3,2,40,10,602,379,222,120,566,516,220,146,69,71,2,9
Roma,72,25,47,85,26,7,5,34,7,592,412,216,117,487,525,213,169,82,90,5,5
Napoli,77,39,38,78,23,9,6,43,18,577,455,226,166,473,519,185,145,73,71,4,9
Fiorentina,65,44,21,65,19,8,11,31,24,574,472,172,169,463,639,212,185,83,116,4,9
Inter,62,39,23,60,15,15,8,29,18,546,436,185,161,503,501,230,192,70,94,3,5
Parma,58,46,12,58,15,13,10,28,20,494,467,160,152,616,529,195,183,98,83,8,7
Milan,57,49,8,57,16,9,13,24,21,620,461,204,147,570,543,223,188,84,90,7,6
Torino,58,48,10,57,15,12,11,20,22,503,533,173,165,483,554,222,198,94,94,2,6
Lazio,54,54,0,56,15,11,12,25,17,539,463,182,153,599,495,193,183,79,98,9,6
Verona,62,68,-6,54,16,6,16,27,34,459,671,163,234,504,529,187,222,68,90,5,4
Atalanta,43,51,-8,50,15,5,18,17,17,447,613,154,191,525,564,190,221,81,71,6,6
Sampdoria,48,62,-14,45,12,9,17,17,25,521,505,175,186,660,588,173,205,97,99,10,4
Genoa,41,50,-9,44,11,11,16,17,24,375,604,135,187,605,598,180,216,94,90,5,3
Udinese,46,57,-11,44,12,8,18,20,31,482,544,159,159,519,525,201,225,80,100,2,5
Cagliari,34,53,-19,39,9,12,17,14,25,468,501,132,164,580,573,171,208,99,76,8,6
Chievo,34,54,-20,36,10,6,22,17,28,413,506,135,158,629,537,190,202,103,72,4,2
Sassuolo,43,72,-29,34,9,7,22,20,34,492,513,163,197,632,640,199,186,97,78,5,5
Catania,34,66,-32,32,8,8,22,15,29,484,601,146,210,641,605,179,213,91,91,8,3
Bologna,28,58,-30,29,5,14,19,13,28,496,476,158,163,595,604,173,200,98,85,5,5
Livorno,39,77,-38,25,6,7,25,19,38,483,555,142,203,574,640,180,229,108,89,5,2
